iter	Logloss
239	0.1998608829
240	0.1998351088
241	0.1998143753
242	0.1997949317
243	0.1997713213
244	0.1997638713
245	0.1997559166
246	0.1997357641
247	0.1997155224
248	0.1997002765
249	0.1996592807
250	0.1996119168
251	0.1995904732
252	0.1995673344
253	0.1995475679
254	0.1995234946
255	0.1994821803
256	0.1994582845
257	0.199440534
258	0.1994233691
259	0.199394082
260	0.1993733618
261	0.1993514472
262	0.199323175
263	0.1993071478
264	0.1992817809
265	0.1992535012
266	0.1992292378
267	0.1991989955
268	0.1991736416
269	0.1991591536
270	0.1991496314
271	0.1991176977
272	0.199092949
273	0.1990841405
274	0.1990579974
275	0.1990380699
276	0.1990074661
277	0.1990053323
278	0.1989709053
279	0.1989532561
280	0.1989412226
281	0.1989240647
282	0.1988974243
283	0.1988736357
284	0.1988616641
285	0.1988452215
286	0.1988174144
287	0.1988007375
288	0.1987811993
289	0.1987516525
290	0.1987403979
291	0.1987217334
292	0.198699261
293	0.1986777644
294	0.1986581431
295	0.1986295367
296	0.1986036974
297	0.1985755681
298	0.1985620331
299	0.1985400664
300	0.1985221032
301	0.1984941362
302	0.1984644802
303	0.1984435924
304	0.1984309026
305	0.1984231257
306	0.1983985842
307	0.1983861877
308	0.1983762514
309	0.1983578174
310	0.1983409461
311	0.1983187991
312	0.1983066572
313	0.1982923258
314	0.1982779103
315	0.1982504499
316	0.1982359397
317	0.1982133854
318	0.1982027353
319	0.1981782434
320	0.1981575667
321	0.198137088
322	0.1981229651
323	0.1981006398
324	0.1980970047
325	0.1980666074
326	0.1980512875
327	0.1980363945
328	0.1980230596
329	0.1980118291
330	0.1979930329
331	0.197973194
332	0.1979546611
333	0.1979262208
334	0.1979121528
335	0.1978770359
336	0.1978591454
337	0.197838255
338	0.1978233946
339	0.1978115457
340	0.197784089
341	0.1977727238
342	0.1977517156
343	0.1977390563
344	0.1977141314
345	0.1976996079
346	0.197678031
347	0.1976613566
348	0.1976451959
349	0.1976300346
350	0.1976149475
351	0.1976037057
352	0.1975885904
353	0.1975742988
354	0.1975550051
355	0.197533194
356	0.1975154377
357	0.1974992441
358	0.1974859546
359	0.1974715843
360	0.1974531095
361	0.1974330926
362	0.1974121813
363	0.1973949082
364	0.1973899146
365	0.197372655
366	0.1973551405
367	0.1973328875
368	0.1973088432
369	0.1972947939
370	0.1972886263
371	0.1972570773
372	0.1972430051
373	0.1972201607
374	0.1972039006
375	0.197192697
376	0.1971734051
377	0.1971527687
378	0.1971374939
379	0.1971198648
380	0.1971103248
381	0.1970925661
382	0.1970730097
383	0.1970599714
384	0.1970267209
385	0.1970132637
386	0.1969824073
387	0.1969554919
388	0.1969333054
389	0.1969021143
390	0.1968766833
391	0.1968366084
392	0.1968258318
393	0.1968200207
394	0.1968154354
395	0.1967976684
396	0.1967928384
397	0.1967841611
398	0.1967538895
399	0.1967314876
400	0.1967180328
401	0.1966955642
402	0.1966808287
403	0.1966661502
404	0.1966521649
405	0.196625737
406	0.1966051031
407	0.196589814
408	0.1965686295
409	0.1965515933
410	0.1965216613
411	0.1964956724
412	0.1964696499
413	0.1964604284
414	0.1964238997
415	0.196394794
416	0.1963759285
417	0.1963548258
418	0.1963377563
419	0.1963224025
420	0.1963060945
421	0.1962722309
422	0.1962480553
423	0.1962244472
424	0.1961932671
425	0.1961614579
426	0.1961268403
427	0.1961130566
428	0.196091494
429	0.1960754267
430	0.1960345547
431	0.1960229175
432	0.1959963887
433	0.1959692945
434	0.1959507467
435	0.1959371639
436	0.195900131
437	0.1958437907
438	0.1958145303
439	0.195793175
440	0.1957610051
441	0.1957420554
442	0.1957012036
443	0.1956795566
444	0.1956562617
445	0.1956420736
446	0.1956161603
447	0.1955931236
448	0.1955578716
449	0.1955328713
